Colonne,Type,Nulls,Nulls_%,Min,Max,Moyenne,True_%,Uniques,Top_3
school,str,0,0.0,,,,,,
sex,str,0,0.0,,,,,,
age,int64,0,0.0,15.0,22.0,16.74,,,
address,str,0,0.0,,,,,,
famsize,str,0,0.0,,,,,,
Pstatus,str,0,0.0,,,,,,
Medu,int64,0,0.0,0.0,4.0,2.51,,,
Fedu,int64,0,0.0,0.0,4.0,2.31,,,
Mjob,str,0,0.0,,,,,,
Fjob,str,0,0.0,,,,,,
reason,str,0,0.0,,,,,,
guardian,str,0,0.0,,,,,,
traveltime,int64,0,0.0,1.0,4.0,1.57,,,
studytime,int64,0,0.0,1.0,4.0,1.93,,,
failures,int64,0,0.0,0.0,3.0,0.22,,,
schoolsup,str,0,0.0,,,,,,
famsup,str,0,0.0,,,,,,
paid,str,0,0.0,,,,,,
activities,str,0,0.0,,,,,,
nursery,str,0,0.0,,,,,,
higher,str,0,0.0,,,,,,
internet,str,0,0.0,,,,,,
romantic,str,0,0.0,,,,,,
famrel,int64,0,0.0,1.0,5.0,3.93,,,
freetime,int64,0,0.0,1.0,5.0,3.18,,,
goout,int64,0,0.0,1.0,5.0,3.18,,,
Dalc,int64,0,0.0,1.0,5.0,1.5,,,
Walc,int64,0,0.0,1.0,5.0,2.28,,,
health,int64,0,0.0,1.0,5.0,3.54,,,
absences,int64,0,0.0,0.0,32.0,3.66,,,
G1,int64,0,0.0,0.0,19.0,11.4,,,
G2,int64,0,0.0,0.0,19.0,11.57,,,
G3,int64,0,0.0,0.0,19.0,11.91,,,
