dataset,model,true_class,predicted_class,count
mat,classe_majoritaire,faible,faible,56
mat,classe_majoritaire,faible,moyen,0
mat,classe_majoritaire,faible,eleve,0
mat,classe_majoritaire,moyen,faible,33
mat,classe_majoritaire,moyen,moyen,0
mat,classe_majoritaire,moyen,eleve,0
mat,classe_majoritaire,eleve,faible,30
mat,classe_majoritaire,eleve,moyen,0
mat,classe_majoritaire,eleve,eleve,0
mat,classifieur_euclidien,faible,faible,22
mat,classifieur_euclidien,faible,moyen,17
mat,classifieur_euclidien,faible,eleve,17
mat,classifieur_euclidien,moyen,faible,11
mat,classifieur_euclidien,moyen,moyen,6
mat,classifieur_euclidien,moyen,eleve,16
mat,classifieur_euclidien,eleve,faible,5
mat,classifieur_euclidien,eleve,moyen,3
mat,classifieur_euclidien,eleve,eleve,22
mat,ppv_k7,faible,faible,36
mat,ppv_k7,faible,moyen,10
mat,ppv_k7,faible,eleve,10
mat,ppv_k7,moyen,faible,22
mat,ppv_k7,moyen,moyen,4
mat,ppv_k7,moyen,eleve,7
mat,ppv_k7,eleve,faible,12
mat,ppv_k7,eleve,moyen,5
mat,ppv_k7,eleve,eleve,13
mat,analyse_discriminante_lineaire,faible,faible,41
mat,analyse_discriminante_lineaire,faible,moyen,10
mat,analyse_discriminante_lineaire,faible,eleve,5
mat,analyse_discriminante_lineaire,moyen,faible,16
mat,analyse_discriminante_lineaire,moyen,moyen,4
mat,analyse_discriminante_lineaire,moyen,eleve,13
mat,analyse_discriminante_lineaire,eleve,faible,12
mat,analyse_discriminante_lineaire,eleve,moyen,4
mat,analyse_discriminante_lineaire,eleve,eleve,14
mat,analyse_discriminante_quadratique,faible,faible,27
mat,analyse_discriminante_quadratique,faible,moyen,12
mat,analyse_discriminante_quadratique,faible,eleve,17
mat,analyse_discriminante_quadratique,moyen,faible,9
mat,analyse_discriminante_quadratique,moyen,moyen,7
mat,analyse_discriminante_quadratique,moyen,eleve,17
mat,analyse_discriminante_quadratique,eleve,faible,2
mat,analyse_discriminante_quadratique,eleve,moyen,6
