dataset,model,n_features,test_accuracy,test_error,test_balanced_accuracy,test_macro_f1,cv_accuracy_mean,cv_accuracy_std,cv_balanced_accuracy_mean,cv_macro_f1_mean
mat,classe_majoritaire,24,0.47058823529411764,0.5294117647058824,0.3333333333333333,0.21333333333333335,0.4708860759493671,0.005063291139240511,0.3333333333333333,0.21341978583357896
mat,classifieur_euclidien,24,0.42016806722689076,0.5798319327731092,0.436002886002886,0.39637399857166095,0.44556962025316454,0.021778038650740825,0.4516830774725512,0.42372075988838553
mat,ppv_k7,24,0.44537815126050423,0.5546218487394958,0.3991341991341992,0.38620268620268616,0.42784810126582273,0.038726730482983175,0.39538795801953697,0.37967168647508287
mat,analyse_discriminante_lineaire,24,0.4957983193277311,0.5042016806722689,0.440007215007215,0.42149188277461525,0.49873417721518987,0.03633594960609449,0.45425030635556957,0.4465043180254972
mat,analyse_discriminante_quadratique,24,0.47058823529411764,0.5294117647058824,0.4758658008658008,0.44249176747598495,0.45316455696202523,0.048959695204591674,0.4614729288413499,0.42393334758235
mat,regression_logistique_multinomiale,24,0.5126050420168067,0.4873949579831933,0.46222943722943716,0.44043010752688166,0.5139240506329114,0.04050632911392405,0.47251057619478676,0.4622677098401827
mat,arbre_decision,24,0.44537815126050423,0.5546218487394958,0.361002886002886,0.3396458574060773,0.430379746835443,0.06601723954635594,0.38816114816114816,0.38351506951196
por,classe_majoritaire,24,0.4,0.6,0.3333333333333333,0.19047619047619047,0.39753130590339897,0.003172779860807938,0.3333333333333333,0.18963255283697272
por,classifieur_euclidien,24,0.5743589743589743,0.4256410256410257,0.5926258947883728,0.5771205192281629,0.5531902206320811,0.018712171913699775,0.5696803471726073,0.5542917079540052
por,ppv_k7,24,0.49743589743589745,0.5025641025641026,0.5032644477413618,0.5001541069502234,0.5285271317829456,0.035908322223006536,0.5361444523828425,0.5312683138492411
por,analyse_discriminante_lineaire,24,0.5692307692307692,0.4307692307692308,0.5613276586391723,0.5718030004243528,0.560834824090638,0.026198333899944772,0.559077161228864,0.565404977523324
por,analyse_discriminante_quadratique,24,0.5282051282051282,0.4717948717948718,0.5387337839120423,0.536376418128243,0.5670244484197973,0.01780137510804707,0.5771662565161015,0.5716137280952309
por,regression_logistique_multinomiale,24,0.5692307692307692,0.4307692307692308,0.5670273294469671,0.5754916439953363,0.5716159809183065,0.014399153733064262,0.5724097007223943,0.574917096877545
por,arbre_decision,24,0.5128205128205128,0.4871794871794872,0.5376048394750909,0.5200181646071583,0.5222778771615981,0.036310560966904507,0.5256633854621471,0.5039753794578635
