dataset,model,feature,coef,abs_coef
mat,elasticnet_indices_only,risk_index,-1.1585695841155903,1.1585695841155903
mat,elasticnet_indices_only,alcohol_index,0.5662283020052058,0.5662283020052058
mat,elasticnet_indices_only,parent_edu_index,0.49606919147449113,0.49606919147449113
mat,elasticnet_indices_only,health,-0.284518678383244,0.284518678383244
mat,elasticnet_indices_only,age,-0.22476965154872722,0.22476965154872722
mat,elasticnet_indices_only,resource_ambition_count,0.18557342233562704,0.18557342233562704
mat,elasticnet_indices_only,famrel,0.06712176460729619,0.06712176460729619
mat,elasticnet_indices_only,social_life_index,-0.01725768594423282,0.01725768594423282
mat,elasticnet_indices_only,study_vs_social_index,0.0,0.0
mat,elasticnet_indices_only,support_count,-0.0,0.0
mat,elasticnet_full_no_grades,failures,-0.7095177327598874,0.7095177327598874
mat,elasticnet_full_no_grades,higher_yes,0.33483244887942176,0.33483244887942176
mat,elasticnet_full_no_grades,romantic_yes,-0.2445317954884043,0.2445317954884043
mat,elasticnet_full_no_grades,Medu,0.24331965258321456,0.24331965258321456
mat,elasticnet_full_no_grades,paid_yes,0.24142284526286661,0.24142284526286661
mat,elasticnet_full_no_grades,famsup_yes,-0.22276858460144017,0.22276858460144017
mat,elasticnet_full_no_grades,risk_index,-0.19644910898158252,0.19644910898158252
mat,elasticnet_full_no_grades,absences,0.19227197747898725,0.19227197747898725
mat,elasticnet_full_no_grades,goout,-0.18601046453546372,0.18601046453546372
mat,elasticnet_full_no_grades,internet_yes,0.14035576259419894,0.14035576259419894
mat,elasticnet_full_no_grades,schoolsup_yes,-0.13074809156148787,0.13074809156148787
mat,elasticnet_full_no_grades,age,-0.11674792943891828,0.11674792943891828
mat,elasticnet_full_no_grades,sex_M,0.1086049193714534,0.1086049193714534
mat,elasticnet_full_no_grades,health,-0.10148816826369605,0.10148816826369605
mat,elasticnet_full_no_grades,Mjob_health,0.07565424229111255,0.07565424229111255
mat,elasticnet_full_no_grades,reason_reputation,0.0754364293416801,0.0754364293416801
mat,elasticnet_full_no_grades,parent_edu_index,0.06723495324844778,0.06723495324844778
mat,elasticnet_full_no_grades,study_vs_social_index,0.06602030662326286,0.06602030662326286
mat,elasticnet_full_no_grades,studytime,0.0439419496275163,0.0439419496275163
mat,elasticnet_full_no_grades,Walc,0.04111154734786822,0.04111154734786822
mat,elasticnet_full_no_grades,famrel,0.026458146238210776,0.026458146238210776
mat,elasticnet_full_no_grades,traveltime,-0.02513546410705103,0.02513546410705103
mat,elasticnet_full_no_grades,nursery_yes,-0.021339127476244155,0.021339127476244155
mat,elasticnet_full_no_grades,reason_other,0.01607124150940316,0.01607124150940316
mat,elasticnet_full_no_grades,Pstatus_T,-0.012224995146163972,0.012224995146163972
mat,elasticnet_full_no_grades,activities_yes,-0.012028288488333138,0.012028288488333138
mat,elasticnet_full_no_grades,freetime,0.011329727667418693,0.011329727667418693
mat,elasticnet_full_no_grades,social_life_index,-0.0086852887255429,0.0086852887255429
mat,elasticnet_full_no_grades,reason_home,-0.007875574422994011,0.007875574422994011
mat,elasticnet_full_no_grades,famsize_LE3,0.00679661107362427,0.00679661107362427
