dataset,model,feature,importance_mae_increase,importance_std
mat,random_forest_full_no_grades,failures,0.4129754871923447,0.15652593843164384
mat,random_forest_full_no_grades,absences,0.289023347601309,0.07603310622092584
mat,random_forest_full_no_grades,risk_index,0.1108379546582332,0.02697019622429076
mat,random_forest_full_no_grades,sex,0.026757701662888378,0.011117062930287858
mat,random_forest_full_no_grades,schoolsup_yes,0.02250827291843449,0.010679896185748095
mat,random_forest_full_no_grades,Medu,0.018732186963431464,0.01711989983156287
mat,random_forest_full_no_grades,age,0.017601783637964673,0.02475034137520615
mat,random_forest_full_no_grades,goout,0.016816574967913,0.011339776010209203
mat,random_forest_full_no_grades,resource_ambition_count,0.013837176103298399,0.01688101691023147
mat,random_forest_full_no_grades,freetime,0.009853357559498076,0.0022418626163618794
mat,random_forest_full_no_grades,Mjob,0.0095553337099759,0.006400531905952481
mat,random_forest_full_no_grades,parent_edu_index,0.009044319400031808,0.016689517347146975
mat,random_forest_full_no_grades,activities_yes,0.00505888470288367,0.004044468792898721
mat,random_forest_full_no_grades,guardian,0.004708130060920235,0.001797303441279137
mat,random_forest_full_no_grades,Fjob,0.0032553959824577205,0.004821832627376274
mat,random_forest_full_no_grades,romantic_yes,0.003255393039071608,0.01898657807324067
mat,random_forest_full_no_grades,support_count,0.0030720356494315926,0.011367816918029927
mat,random_forest_full_no_grades,Dalc,0.002417971521894202,0.0015712022344088832
mat,random_forest_full_no_grades,Walc,0.0018305055473677445,0.00199921619474261
mat,random_forest_full_no_grades,reason,0.0015919717054796666,0.0075060993961456185
mat,random_forest_full_no_grades,famrel,0.0015240833159372523,0.002428364556354
mat,random_forest_full_no_grades,address,0.0013457204976259352,0.000707108260687639
mat,random_forest_full_no_grades,traveltime,0.0012820976684932983,0.0024695433182629666
mat,random_forest_full_no_grades,alcohol_index,0.0012249224283147786,0.002309576401339403
mat,random_forest_full_no_grades,nursery_yes,0.0008286835717877139,0.00027685644119940917
mat,random_forest_full_no_grades,internet_yes,0.00025212821040749845,0.003088883030579422
mat,random_forest_full_no_grades,paid_yes,0.0001739363797919058,0.005535048831039302
mat,random_forest_full_no_grades,school,0.0,0.0
mat,random_forest_full_no_grades,Pstatus,-0.00017845746469848933,0.0010881989440413246
mat,random_forest_full_no_grades,studytime,-0.0011012871309053374,0.003753158815128445
mat,random_forest_full_no_grades,study_vs_social_index,-0.0016021669952629657,0.009319232661820531
mat,random_forest_full_no_grades,famsize,-0.001754608452603268,0.0017829860255987394
mat,random_forest_full_no_grades,social_life_index,-0.0023771266602508946,0.00863572420565247
