dataset,feature,method,score,f_stat,p_value
mat,Mjob,anova_eta2,0.037079449468519994,3.754459618901351,0.005194749939407733
mat,higher,anova_eta2,0.03329333677012345,13.534903449348773,0.0002668001587281917
mat,romantic,anova_eta2,0.016892187945489683,6.752697701286661,0.009712726394119712
mat,reason,anova_eta2,0.015708328786394426,2.0799920508343344,0.10233745609730385
mat,Fjob,anova_eta2,0.013187014590532791,1.3029154881291374,0.2683141692179736
mat,address,anova_eta2,0.011184345058144078,4.4451638542363945,0.035632679756558636
mat,sex,anova_eta2,0.010703070992690597,4.251814371189991,0.039865332341527955
mat,paid,anova_eta2,0.010403233120338848,4.13145106484603,0.0427650640335768
mat,internet,anova_eta2,0.009698974414878644,3.849028574715602,0.05048021213717589
mat,guardian,anova_eta2,0.008049562433589744,1.5905172045230975,0.2051326420058259
mat,schoolsup,anova_eta2,0.00685388854175421,2.712167087836046,0.1003849636391073
mat,famsize,anova_eta2,0.006627117521520698,2.6218323772433565,0.10620482783859679
mat,Pstatus,anova_eta2,0.003365042336009606,1.3269268029203882,0.25005293926392647
mat,nursery,anova_eta2,0.002659248404358223,1.0478711726566372,0.30662756656095014
mat,school,anova_eta2,0.0020265251672667017,0.7980416422082739,0.3722262371311368
mat,famsup,anova_eta2,0.001533282023182349,0.6035051787521448,0.43771108589488095
mat,activities,anova_eta2,0.0002592003818144438,0.10189216053999331,0.7497402737748178
por,higher,anova_eta2,0.11033796577935355,80.24245287906325,3.499659592830027e-18
por,school,anova_eta2,0.08082317145736828,56.890676863371326,1.5661990923002604e-13
por,reason,anova_eta2,0.045498492013999414,10.248465509132915,1.3416422874904325e-06
por,Mjob,anova_eta2,0.04377391740227352,7.370224291121831,8.305149884947421e-06
por,address,anova_eta2,0.028102280642258268,18.707910527412754,1.7641534609222376e-05
por,internet,anova_eta2,0.022507456772950206,14.897632348195055,0.00012489173447451603
por,Fjob,anova_eta2,0.019922245037771694,3.2726805958419667,0.01137628062360572
por,sex,anova_eta2,0.016660997548117513,10.962308407124876,0.0009815287061373291
por,romantic,anova_eta2,0.008205258800566358,5.35272292081948,0.02100247152464982
por,guardian,anova_eta2,0.00810152877097178,2.63816697870449,0.07226239503367193
por,schoolsup,anova_eta2,0.004409590503195144,2.865641360496058,0.09097103846579589
por,activities,anova_eta2,0.003575017544174755,2.321335165021925,0.12809905950542522
por,famsup,anova_eta2,0.00350529780748537,2.2759054076786045,0.13188651204202523
por,paid,anova_eta2,0.003013780283374398,1.9558102256392806,0.1624412486356955
por,famsize,anova_eta2,0.0020264733894644767,1.3137906447644496,0.2521332216658235
por,nursery,anova_eta2,0.0008266981664123247,0.5353162586382412,0.46464524309828237
por,Pstatus,anova_eta2,5.684029807436313e-07,0.0003677569375753126,0.984705825951084
