dataset,model,feature,coef_standardized
mat,linear_context_only,Medu,0.8367655890999974
mat,linear_context_only,goout,-0.7719600256434875
mat,linear_context_only,age,-0.5238255470119834
mat,linear_context_only,studytime,0.48009405951570283
mat,linear_context_only,Walc,0.37752020235396583
mat,linear_context_only,health,-0.3581978965539371
mat,linear_context_only,famrel,0.25351531429439905
mat,linear_context_only,absences,0.22863893058803264
mat,linear_context_only,freetime,0.1136248451670066
mat,linear_context_only,Fedu,-0.10059550753454921
mat,linear_with_G1_G2,G2,3.59675830991573
mat,linear_with_G1_G2,G1,0.6636607953163438
mat,linear_with_G1_G2,famrel,0.3397012852447353
mat,linear_with_G1_G2,absences,0.33891266958694677
mat,linear_with_G1_G2,age,-0.29886993470248435
mat,linear_with_G1_G2,Fedu,-0.1789176371891198
mat,linear_with_G1_G2,goout,0.15828844126556335
mat,linear_with_G1_G2,studytime,-0.11084192062873066
mat,linear_with_G1_G2,Medu,0.08036406971579291
mat,linear_with_G1_G2,freetime,-0.07514730979528382
mat,linear_with_G1_G2,health,0.03786355179440776
mat,linear_with_G1_G2,Walc,-0.027743262599601026
por,linear_context_only,studytime,0.5185581080356654
por,linear_context_only,Medu,0.36349184140114854
por,linear_context_only,age,-0.34460775516997916
por,linear_context_only,Fedu,0.3210833194517408
por,linear_context_only,Walc,-0.3202207952478402
por,linear_context_only,health,-0.31451768498514027
por,linear_context_only,famrel,0.26392254339977894
por,linear_context_only,freetime,-0.19693817395143615
por,linear_context_only,absences,-0.08347223981893753
por,linear_context_only,goout,-0.043279183171065105
por,linear_with_G1_G2,G2,2.4013392712178288
por,linear_with_G1_G2,G1,0.5780532127989343
por,linear_with_G1_G2,absences,0.1384655967141249
por,linear_with_G1_G2,Medu,-0.10882682529852983
por,linear_with_G1_G2,Walc,-0.08583884812304676
por,linear_with_G1_G2,freetime,-0.07877793642179214
por,linear_with_G1_G2,goout,0.07601679514110654
por,linear_with_G1_G2,famrel,-0.06890651770739989
por,linear_with_G1_G2,health,-0.06612965942021223
por,linear_with_G1_G2,studytime,0.05269902417355332
por,linear_with_G1_G2,Fedu,0.04787030290513661
por,linear_with_G1_G2,age,-0.010481909856027316
